date,sea_level_mm
2009-04-01,30.301000000000002
2009-05-01,29.383666666666667
2009-06-01,30.572333333333333
2009-07-01,30.683000000000003
2009-08-01,31.40533333333333
2009-09-01,33.601333333333336
2009-10-01,33.48833333333334
2009-11-01,33.275
2009-12-01,32.463
2010-01-01,32.181333333333335
2010-02-01,32.086333333333336
2010-03-01,34.41866666666667
2010-04-01,33.785
2010-05-01,33.763
2010-06-01,36.815999999999995
2010-07-01,35.309
2010-08-01,31.358333333333334
2010-09-01,29.18733333333333
2010-10-01,29.78633333333333
2010-11-01,27.91933333333333
2010-12-01,28.050666666666668
2011-01-01,27.96166666666667
2011-02-01,28.517
2011-03-01,28.471666666666664
2011-04-01,28.275666666666666
2011-05-01,28.745
2011-06-01,32.803333333333335
2011-07-01,32.13833333333333
2011-08-01,34.33325
2011-09-01,32.449333333333335
2011-10-01,34.164
2011-11-01,32.83866666666666
2011-12-01,35.538666666666664
2012-01-01,38.50066666666667
2012-02-01,39.13666666666666
2012-03-01,38.31766666666667
2012-04-01,38.391333333333336
2012-05-01,40.18233333333333
2012-06-01,42.60666666666667
2012-07-01,45.54366666666667
2012-08-01,43.663333333333334
2012-09-01,44.09725
2012-10-01,43.72299999999999
2012-11-01,43.88933333333333
2012-12-01,45.17966666666666
2013-01-01,45.685
2013-02-01,46.01866666666666
2013-03-01,45.99966666666666
2013-04-01,45.24333333333334
2013-05-01,45.144666666666666
2013-06-01,44.07366666666667
2013-07-01,44.370666666666665
2013-08-01,41.943333333333335
2013-09-01,42.04866666666667
2013-10-01,43.717666666666666
2013-11-01,45.770999999999994
2013-12-01,43.36725
2014-01-01,45.31966666666667
2014-02-01,48.60566666666667
2014-03-01,48.565
2014-04-01,46.91966666666667
2014-05-01,46.08633333333333
2014-06-01,48.421
2014-07-01,49.57833333333334
2014-08-01,50.898666666666664
2014-09-01,48.64766666666666
2014-10-01,50.25933333333333
2014-11-01,46.998333333333335
2014-12-01,51.15133333333333
2015-01-01,51.45775
2015-02-01,56.387
2015-03-01,55.708333333333336
2015-04-01,56.912
2015-05-01,55.190666666666665
2015-06-01,59.127
2015-07-01,58.943999999999996
2015-08-01,61.25233333333333
2015-09-01,62.09366666666667
2015-10-01,63.41400000000001
2015-11-01,60.10166666666667
2015-12-01,59.50466666666667
2016-01-01,60.446
2016-02-01,62.599333333333334
2016-03-01,63.589999999999996
2016-04-01,61.95366666666666
2016-05-01,60.40975
2016-06-01,62.34233333333333
2016-07-01,59.83166666666667
2016-08-01,57.43366666666666
2016-09-01,59.92733333333334
2016-10-01,58.793000000000006
2016-11-01,63.611333333333334
2016-12-01,61.47933333333333
2017-01-01,60.667
2017-02-01,58.717000000000006
2017-03-01,60.65366666666667
2017-04-01,61.455666666666666
2017-05-01,59.76166666666666
2017-06-01,60.315666666666665
2017-07-01,61.74525
2017-08-01,61.708
2017-09-01,62.785333333333334
2017-10-01,62.00333333333333
2017-11-01,65.818
2017-12-01,64.99566666666666
2018-01-01,64.178
2018-02-01,62.678333333333335
2018-03-01,63.90566666666666
2018-04-01,61.879999999999995
2018-05-01,63.141999999999996
2018-06-01,63.443999999999996
2018-07-01,65.52133333333335
2018-08-01,64.53500000000001
2018-09-01,66.76666666666667
2018-10-01,68.7325
2018-11-01,66.776
2018-12-01,67.117
2019-01-01,68.95033333333333
2019-02-01,69.752
2019-03-01,70.66833333333334
2019-04-01,70.78333333333333
2019-05-01,71.38600000000001
2019-06-01,71.998
2019-07-01,72.702
2019-08-01,74.32533333333333
2019-09-01,73.932
2019-10-01,72.50566666666667
2019-11-01,72.92733333333332
2019-12-01,73.55799999999999
2020-01-01,69.66466666666666
2020-02-01,73.24350000000001
2020-03-01,72.33566666666667
2020-04-01,72.58800000000001
2020-05-01,74.25266666666666
2020-06-01,74.528
2020-07-01,75.03133333333334
2020-08-01,73.57133333333333
2020-09-01,74.18900000000001
2020-10-01,75.57000000000001
2020-11-01,75.533
2020-12-01,75.51566666666666
2021-01-01,77.998
2021-02-01,75.005
2021-03-01,75.76625
2021-04-01,77.95833333333333
2021-05-01,78.61133333333333
2021-06-01,77.68233333333333
2021-07-01,79.84733333333334
2021-08-01,80.182
2021-09-01,80.00166666666667
2021-10-01,81.19500000000001
2021-11-01,80.02
2021-12-01,80.09566666666666
2022-01-01,82.25366666666666
2022-02-01,80.337
2022-03-01,79.11066666666666
2022-04-01,79.747
2022-05-01,80.15299999999999
2022-06-01,80.84866666666666
2022-07-01,83.87366666666667
2022-08-01,79.901
2022-09-01,82.753
2022-10-01,82.09133333333334
2022-11-01,81.56333333333333
2022-12-01,82.78333333333333
2023-01-01,84.73433333333332
2023-02-01,83.03566666666667
2023-03-01,84.36333333333333
2023-04-01,81.56666666666666
2023-05-01,86.43766666666666
2023-06-01,86.44233333333334
2023-07-01,89.632
2023-08-01,90.69975
2023-09-01,91.28033333333333
2023-10-01,94.86666666666667
2023-11-01,91.01466666666666
2023-12-01,92.471
2024-01-01,93.44033333333334
2024-02-01,93.32333333333334
2024-03-01,94.20966666666668
2024-04-01,91.24933333333333
2024-05-01,92.54166666666667
2024-06-01,93.44633333333333
2024-07-01,91.13799999999999
2024-08-01,88.71625
2024-09-01,88.95733333333334
2024-10-01,90.55733333333335
2024-11-01,91.098
2024-12-01,93.01233333333333
2025-01-01,91.392
2025-02-01,92.305
2025-03-01,91.873
2025-04-01,91.01833333333333
2025-05-01,92.07166666666667
2025-06-01,91.315
2025-07-01,89.19933333333331
2025-08-01,91.88600000000001
2025-09-01,90.47699999999999
2025-10-01,91.22766666666666
2025-11-01,94.319
2025-12-01,93.13374999999999
2026-01-01,94.86133333333333
2026-02-01,95.331
